season,game_type,player_id,first_name,last_name,position,team_abbrev,gp,goals,assists,points,top_shot_speed_mph,avg_shot_speed_mph,shot_attempts_over100,shot_attempts_90_100,shot_attempts_80_90,shot_attempts_70_80,max_skate_speed_mph,bursts_over22,bursts_20_22,bursts_18_20,dist_total_mi,dist_per60_mi,dist_max_game_mi,oz_pct,nz_pct,dz_pct,oz_league_avg,dz_league_avg,oz_starts_pct,nz_starts_pct,dz_starts_pct
2026,2,8478402,Connor,McDavid,C,EDM,82,48,90,138,82.05,48.3919,0,0,5,56,24.6119,151,530,922,330.2671,10.5136,4.914,0.47687929,0.16919112,0.35392959,0.43087924,0.4011711,0.4407,0.3183,0.2476
2026,2,8476453,Nikita,Kucherov,R,TBL,76,44,86,130,92.06,62.4899,0,3,63,131,22.4398,3,135,503,244.0398,9.4744,4.5318,0.45680076,0.18594578,0.35725346,0.43087924,0.4011711,0.4367,0.2743,0.2911
2026,2,8477492,Nathan,MacKinnon,C,COL,80,53,74,127,90.99,58.5965,0,1,62,121,24.7795,45,410,819,283.3627,9.5465,4.8913,0.466145,0.18097045,0.35288455,0.43087924,0.4011711,0.4581,0.3024,0.2395
2026,2,8484801,Macklin,Celebrini,C,SJS,82,45,70,115,97.89,62.2639,0,6,81,150,22.3202,2,184,872,293.7159,10.0824,4.7046,0.44534213,0.18124043,0.37341743,0.43087924,0.4011711,0.398,0.3284,0.2736
2026,2,8476460,Mark,Scheifele,C,WPG,82,36,67,103,86.91,51.2411,0,0,15,64,23.438,2,119,693,290.6273,9.889,4.4267,0.43973647,0.17669334,0.38357019,0.43087924,0.4011711,0.4705,0.286,0.2472
2026,2,8480018,Nick,Suzuki,C,MTL,82,29,72,101,86.02,56.9616,0,0,37,94,23.6214,9,228,757,271.6101,9.5453,4.1923,0.45109381,0.17313744,0.37576876,0.43087924,0.4011711,0.3465,0.339,0.3146
2026,2,8477956,David,Pastrnak,R,BOS,77,29,71,100,93.06,58.8399,0,10,64,99,21.5107,0,67,350,247.7469,9.3461,4.2597,0.4357081,0.18408065,0.38021125,0.43087924,0.4011711,0.4073,0.2776,0.3151
2026,2,8480039,Martin,Necas,C,COL,78,38,62,100,93.38,60.3288,0,7,26,109,23.8916,37,311,1030,289.7728,10.3685,5.0908,0.45471506,0.18104245,0.36424249,0.43087924,0.4011711,0.4295,0.3088,0.2618
2026,2,8477934,Leon,Draisaitl,C,EDM,65,35,62,97,86.26,55.522,0,0,12,73,23.2764,12,142,513,213.2842,9.1252,4.187,0.46676374,0.17318793,0.36004833,0.43087924,0.4011711,0.4237,0.3146,0.2617
2026,2,8480027,Jason,Robertson,L,DAL,82,45,51,96,90.18,55.4057,0,1,35,107,22.6603,2,59,314,257.0117,9.2854,4.0063,0.4554389,0.17591563,0.36864547,0.43087924,0.4011711,0.3212,0.3313,0.3475
